,Job Title,Company,locations,Requierd Skills,type,Job link,Job Descripttion,Logo ,Company link 
0,Data Analyst,Gomla Market,"Ameria, Alexandria, Egypt",Entry Level · 1 - 2 Yrs of Exp · Business Development · Logistics/Supply Chain · Analyst/Research · .css-5x9pm1{-webkit-text-decoration:none;text-decoration:none;color:inherit;max-width:calc(100vw / 2 - 32px);white-space:nowrap;overflow:hidden;text-overflow:ellipsis;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;}Analysis · SAS · SPSS · SQL · Statistics · Data Analysis · Data,Full Time,https://wuzzuf.net/jobs/p/lGTaAJcRIwbm-Data-Analyst-Gomla-Market-Alexandria-Egypt?o=1&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Using statistical tools to identify, analyze, and interpret patterns and trends• Using automated tools to extract data from primary sources• Removing corrupted data• Developing and maintaining databases• Performing analysis to assess meaning of data• Filter data to review performance indicators• Preparing reports for the management stating trends, patterns, and predictions using relevant data• ",https://images.wuzzuf-data.net/files/company_logo/Gomla-Market-Egypt-64480-1622478872.png,https://wuzzuf.net/jobs/careers/Gomla-Market-Egypt-64480
1,Data Scientist Manager,Tamweely,"Shubra, Cairo, Egypt",Manager · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication skills · Computer Science · Data Analysis · Economics · Mathematics · Management · Banking Sector,Full Time,https://wuzzuf.net/jobs/p/2pF5Y3Tq2cjq-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=2&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Strong abilities in Identifying and analyzing relationships between numbers.• Making use of graphical information while working.• Looking out for new opportunities for process improvement.• Identifying critical metrics and coming up with recommendations on what data to collect.• Examining, processing, and performing quality control checks on the gathered data.• Liaising with business Sector in order to understand the requirements for reporting and delivering correct and accurate information.• Analyzing, interpreting, and presenting results by implementing different tools and techniques.• Creating and enforcing functional policies for effective data management.• Planning and implementing several efficient Techniques and secure procedures for data management and analysis with attention to all technical aspects.• Monitoring and overseeing the use of data systems.• Formulating and implementing several management techniques for quality data collection, in order to ensure adequacy, accuracy, and legitimacy of data.• Ensuring that digital databases and archives are safe and immune to security breaches and data losses by liaising with Information Technology Center • ",https://images.wuzzuf-data.net/files/company_logo/Tamweely-Egypt-30002-1520427696.jpg,https://wuzzuf.net/jobs/careers/Tamweely-Egypt-30002
2,Senior Data Analyst - Cairo,Confidential,"Cairo, Egypt",Experienced · 5 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data · Google Analytics · Marketing · Management · MS Office · RSC · Analysis,Full Time,https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=3&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"1. Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit.• 2. Build different types of dashboards and presentations illustrating the situation of the covered projects.• 3. Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.• 4. Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.• 5. Design and build technical processes to address business issues.• 6. Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.• 7. Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.• 8. Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.• 9. Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.• 10. Communicate results and business impacts of insight initiatives to stakeholders within the company.• ","Not found the Logo in the page, It might be without a logo!",The Company link not Found!
3,Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo, Egypt",Experienced · 3 - 18 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau · SPSS,Full Time,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=4&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Track, collect, and interpret data, then analyze results using statistical techniques• Identify, analyze and interpret trends or patterns in complex data set• Provide insights and make recommendations based on data analysis• Google Analytics and similar platforms to present actionable insights in a visually appealing format.• Apply Data Cleaning Techniques for historical data.• Interpret data & analyze results to provide ongoing reports and dashboards• Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.• Build company balance scorecard model• Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.• Provide quality assurance of imported data• Processing confidential data and information according to guidelines.• Managing and designing the reporting environment, including data sources, security, and metadata.• Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.• Generating reports from single or multiple systems.• Troubleshooting the reporting database environment and reports.• Evaluating changes and updates to source production systems.• Training end-users on new reports and dashboards.• Providing technical expertise in data storage structures, data mining, and data cleansing.• ",https://images.wuzzuf-data.net/files/company_logo/9483258146258857cdb3da.png,https://wuzzuf.net/jobs/careers/Hands%20of%20Hope%20Physical%20Therapy%20&%20Wellness-Egypt-76168
4,Data Analyst,Gila Electric,"New Cairo, Cairo, Egypt",Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Computer Science · Commerce · analytical · Communication skills · Analyst,Full Time,https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=5&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division.• Obtain data from internal data sources and maintain databases/data systems.• Actively identify, analyze, and interpret trends or patterns in simple to complex data sets.• Managing master data, including creation, updates, and deletion.• Managing users and user roles.• Provide quality assurance of imported data, working with quality assurance analysts if necessary.• Processing confidential data and information according to guidelines.• Helping develop reports and analysis.• Managing and designing the reporting environment, including data sources, security, and metadata.• Supporting initiatives for data integrity and normalization.• Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.• Generating reports from single or multiple systems.• Troubleshooting the reporting database environment and reports.• Evaluating changes and updates to source production systems.• Training end-users on new reports and dashboards.• Providing technical expertise in data storage structures, data mining, and data cleansing.• ",https://images.wuzzuf-data.net/files/company_logo/Gila-Electric-Egypt-23151-1597271038.jpg,https://wuzzuf.net/jobs/careers/Gila-Electric-Egypt-23151
5,Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo, Egypt",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · APIs · Computer Science · Engineering · Information Technology (IT) · Java · Programming · Software,Full Time,https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=6&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb, Design and Develop analytical insights based on unstructured and structured data for industry-scaleanalytical solutions on Cloud and on Prem.• Convert requirements into actual working modules. • Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool. • ,https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135.png,https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523
6,Data Engineer,Cilantro,"Maadi, Cairo, Egypt",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Data Analysis · Data Analytics · Data Engineering · Data · Database · Information Technology (IT),Full Time,https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=7&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,ETL maintenance for data freshness and maximum warehouse uptime• Integrate new data sources to ETL• Build monitoring dashboards for data delivery and quality• Data platform infrastructure maintenance and expansion when necessary• Adapting and evolving the data platform based on business requirements • Support in analytical dashboards creation and interfaces for stakeholders • Support in analytical tools development and maintenance• ,https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455.jpg,https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955
7,Data Analyst,Lecico Egypt,"Alexandria, Egypt",Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Analysis · Data Analyst · Data Analysis · Analyst · English,Full Time,https://wuzzuf.net/jobs/p/123dzktUWSha-Data-Analyst-Lecico-Egypt-Alexandria-Egypt?o=8&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Developing and maintaining databases, data systems - reorganizing data in a readable format.• Performing analysis to assess quality and meaning of data.• Filter data by reviewing reports and performance indicators to identify and correct code problems.• Prepare sales trackers for distributors and products daily.• Prepare some data about stocks to help in giving ideas.• Analyzing local, national, and global trends that impact both the organization and industry.• Preparing reports for management stating trends, patterns, and predictions using relevant data.• ",https://images.wuzzuf-data.net/files/company_logo/Lecico-Egypt-Egypt-14389.png,https://wuzzuf.net/jobs/careers/Lecico-Egypt-Egypt-14389
8,Data Analyst - Quality Assurance Department,IdealRatings,"Heliopolis, Cairo, Egypt",Entry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Finance · Quality Assurance · Economic Statistics · Skills · Detail Oriented · QA · English,Full Time,https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=9&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Assist in ensuring the quality of large dataset.• Run analysis to identify the weaknesses of the tested data.     • Execute automated and unautomated test cases, analyze the results, and share the findings.• Clearly communicate details of issues, severity, and priority.• ",https://images.wuzzuf-data.net/files/company_logo/IdealRatings-Egypt-4076.png,https://wuzzuf.net/jobs/careers/IdealRatings-Egypt-4076
9,Financial Planning & Analysis Manager,WUZZUF,"Maadi, Cairo, Egypt",Manager · 12 - 15 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Accounting · Financial Analysis · Financial Management · Finance,Full Time,https://wuzzuf.net/jobs/p/xQnnTb9A7CNR-Financial-Planning-Analysis-Manager-WUZZUF-Cairo-Egypt?o=10&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Managing the budgeting, forecasting, and long-term planning process• Analyzing actuals against budget/ forecast for current and previous years• Perform adhoc analysis where required to assist in management decision making• Supervise budget development process and prepare detailed business plans.• Coordinate with business units and managers and make recommendations to enhance financial support to all plans.• Manage use, implementation, and development of online analytical reporting tools and design efficient reports and databases.• Design various drivers based plans and provide analytical support to leaders.• Evaluate all financial results and associated reporting, and conduct financial and commercial studies to develop analyses.• Identify hazards and risk factors that have the potential to cause harm • Analyze and evaluate the risk associated with that hazard• Determine appropriate ways to eliminate the hazard, or control the risk when the hazard cannot be eliminated • Build financial models based on historical information and other available industry-specific operating metrics.• Conduct scenario analysis based on microeconomic and macroeconomic factors to access business risk• Evaluate companies using various financial valuation methods such as DCF, comparable company analysis, capital structure analysis IRR, Payback, EV, WAAC, NPV, Terminal Value etc.• Ensure the new models’ accuracy while enhancing the existing models’ quality.• Recommend and implement process improvement measures.• Identify key financial and non-financial risks and advise mitigants for those risks.• Conduct scenario and sensitivity analysis with the intent to support investment activities.• Update the financial models after each earnings rollout or other similar corporate actions.• Analyze and identify data required to support model tracking.• ",https://images.wuzzuf-data.net/files/company_logo/7663792566315d8070ef5b.png,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061
